"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AG01"	"AG01_01"	"AG01_02"	"AG01_03"	"AG01_04"	"AG01_05"	"AG01_06"	"AG01_07"	"AG01_07a"	"AG02_01"	"AG03_01"	"AG03_02"	"AG03_03"	"AG03_04"	"AG03_05"	"AG03_06"	"AG03_07"	"AG03_08"	"AG03_09"	"AG03_10"	"AG03_11"	"AG04_01"	"AG05_01"	"AG05_02"	"AG05_03"	"AG05_04"	"AG05_05"	"AG05_06"	"AG05_07"	"AG05_08"	"AG05_09"	"AG05_10"	"AG05_11"	"AG05_12"	"AG05_13"	"AG05_14"	"AG05_15"	"AG05_16"	"AG05_17"	"AG05_18"	"AG06_01"	"AG06_02"	"AG06_03"	"AG06_04"	"AG06_05"	"AG06_06"	"AG06_07"	"AG06_08"	"AG06_09"	"AG06_10"	"AG06_11"	"AG06_12"	"AG08_01"	"AG10_01"	"AG10_02"	"CO01_01"	"CO01_02"	"CO01_03"	"CO02_01"	"CO02_02"	"CO02_03"	"CO03_01"	"CO03_02"	"CO03_03"	"CO03_04"	"CO03_05"	"CO03_06"	"CO03_07"	"CO03_08"	"CO04_01"	"CO04_02"	"CO04_03"	"CO04_04"	"CO04_05"	"CO04_06"	"CO04_07"	"CO04_08"	"CO05_01"	"CO05_02"	"CO05_03"	"CO05_04"	"CO05_05"	"CO05_06"	"CO05_07"	"CO05_08"	"CO06_01"	"CO07_01"	"CO08_01"	"CO11_01"	"CO11_02"	"GI01_01"	"GI01_02"	"GI01_03"	"GI01_04"	"GI01_05"	"GI01_07"	"GI01_08"	"GI01_09"	"GI02_01"	"GS01_01"	"GS01_02"	"GS01_03"	"GS01_04"	"GS01_05"	"GS01_06"	"GS01_07"	"GS02_01"	"GS02_02"	"GS02_03"	"RWA_01"	"RWA_02"	"RWA_03"	"SDO_01"	"SDO_02"	"SDO_03"	"SX_01"	"SX_02"	"SX_03"	"SX_04"	"SX_05"	"SX_06"	"TX_01"	"TX_02"	"TX_03"	"TX_04"	"TX_05"	"TX_06"	"TX_07"	"TX_08"	"SD01"	"SD01_01"	"SD01_02"	"SD01_03"	"SD01_04"	"SD01_05"	"SD02"	"SD03"	"SD04"	"SD04_04"	"SD05"	"SD06"	"SD06_10"	"SD07"	"SD08_01"	"SD09"	"SD10_01"	"SD11"	"SD12_01"	"SD14"	"SD15"	"SN01_01"	"SN01_02"	"SN01_03"	"SN01_04"	"SN01_05"	"SN01_06"	"SN01_07"	"SN01_08"	"SN01_09"	"SN02_01"	"SN02_02"	"SN02_03"	"SN02_04"	"SN02_05"	"SN02_06"	"SN02_07"	"SN02_08"	"SN02_09"	"SN04_01"	"SO01_01"	"XX03"	"XX12"	"XX19"	"XX21"	"TIME002"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME024"	"TIME026"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
98			"base"	"interview"	2024-03-11 13:53:12	1	F	F	T	F	F	F	F		"Test"	5	5	5	5	5	5	5	5	5	5	5	101	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7				7	7	5	5		5		5	5	5		5	5	5	5	5	5	5	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	T	F	F	F	F	9	9	-9		1	1				1				2	2	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101			2	1	2	1		618	216	214	94	126	240	192	60	112	326	340	362	508	30	204	45	43		190		205	2643		2024-03-11 15:01:57	T	F	26	26	7	3	0.31
101			"base"	"interview"	2024-03-11 14:03:14	1	F	T	F	F	F	F	F		"Hallo A. Hausach"	1	1	1	1	1	1	1	1	1	1	1	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				1	1	1	1	1	1																												1	1	1	1	1	1	1	1	1	1	"test"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	T	F	F	T	F	9	9	1		3	1		1	"nein"	1	"test"	1	1	1	1	6	6	10	6	9	8	7	6	8	7	6	6	7	8	8	9	8	9			2	1	1	1		357	176	133	39	150	151	142	40	57		231	257	262	20	477	106	130	40	98		54	1771		2024-03-11 14:51:54	T	F	26	26	2	0	0.38
110		"19726"	"base"	"interview"	2024-03-11 15:39:18	1	F	T	F	F	F	F	F			3	3	3	3	3	3	3	3	3	3	3	71	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3				4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4				4	4	3	3		3		3	3	3		3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	T	F	F	F	F	-9	-9	1		3	8				2				2	2	51	54	62	46	51	59	54	51	50	48	50	56	56	51	50	48	51	53			2	1	2	2	4		6	4	6	40	17	23	9	7	25	21	18	22	2	28	8	5		9	2		256		2024-03-11 15:43:34	T	F	24	24	8	4	2.37
112		"9814"	"base"	"interview"	2024-03-11 16:00:04	2	T	F	F	F	T	F	F		"Guten Morgen/ Guten Mittag etc. ohne Herr oder Frau schreiben zu müssen"	2	2	1	3	2	4	1	1	2	1	4	20	5	4	3	5	5	1	1	5	4	5	5	4	1	2	5	3	4	1	1	2	1	2	2	2	1	3	4	1	1	1				2	1	1	1	1	1	1	2	2	2	1	1	1	1																				1	1	2	4		2		5	3	4		5	5	5	5	5	4	5	1	1	1	1	1	5	3	1	3	1	1	1	1	1	1	3	1	1	5	5	5	1	1	1	T	F	F	F	F	2	2	1		1	8				2	"Psychologie "		0	1	2	3	22	94	51	101	9	68	41	9	10	91	93	80	90	51	38	60	8			2	1	1	1	14		3	4	5	22	51	2023	23	19	33	61	574	128	3	19	24	101		5	1		1183		2024-03-11 16:51:57	T	F	24	24	4	1	1.74
113		"20560"	"base"	"interview"	2024-03-11 16:02:08	1	F	F	F	F	T	F	F		"Hallo A. Hausach"	5	5	5	5	5	5	4	4	4	4	5	87	2	1	2	3	2	1	2	3	2	3	3	4	4	3	4	1	1	4	4	5	5	5	5	5	4	4	5	4	4	4				5	1	5	2	1	1	3	2	3	1	1	5	5	1									3	1	1	1	1	1	1	1				2	2	4	5		5		5	5	1		5	5	5	5	5	5	5	3	4	4	1	2	5	2	1	3	3	1	1	1	1	3	1	1	1	5	5	5	1	4	1	T	F	F	F	F	1	3	1		3	8				2	"Psychologie"		2	1	2	61	44	84	70	94	81	69	84	70	65	40	79	81	92	81	76	74	79			2	1	1	1	20		38	16	17	53	196	134	45	88	104	162	141	212	14	42	23	37		24	4		1337		2024-03-11 16:24:58	T	F	24	24	5	1	0.72
114		"20923"	"base"	"interview"	2024-03-11 16:08:24	1	F	T	F	F	F	F	F		"Sehr geehrt(e(r)) Frau/Herr"	2	4	2	4	2	2	2	2	2	2	4	11	5	3	2	5	4	1	4	5	5	5	5	3	3	2	4	4	5	4	-1	2	2	4	4	4	1	3	5	2	1	1				6	2	3	2	1	1	4	2	3	5	1	6	7	1	1	1	1	1	1	1	1	1	4	4	1	4	1	1	1	1				3	1	3	4		4		4	4	2		5	3	4	5	5	5	5	3	3	3	1	2	5	3	1	4	5	1	2	1	1	2	1	1	5	5	5	5	3	5	1	T	F	F	F	F	9	9	1		3	8				2	"Psychologie"		6	1	2	16	40	96	78	97	78	76	77	51	17	39	101	92	101	86	84	86	51			2	1	1	1	5		4	5	13	55	120	128	30	50	121	153	148	185	13	64	38	36		22	4		1194		2024-03-11 16:28:18	T	F	24	24	5	1	0.91
115		"9865"	"base"	"interview"	2024-03-11 16:09:43	1	F	T	F	F	F	F	F		"Hallo/Guten Tag A.Hausach"	1	1	1	1	1	1	1	1	1	1	4	1	5	5	3	5	5	1	3	4	5	4	5	4	3	3	4	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1				5	3	4	2	1	1	3	1	4	4	5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				2	1	3	3		4		5	2	4		5	5	5	5	5	5	5	3	3	3	3	4	4	3	3	2	3	1	3	1	2	2	1	1	2	5	5	5	2	5	1	T	F	F	F	F	2	2	1		1	7				2	"Psychologie BSc"		0	1	2	20	37	101	93	101	92	77	90	1	21	47	88	87	101	50	76	77	38			2	1	1	1	70		2	5	5	78	154	46	36	29	210	105	204	181	3	56	29	12		16	7		1185		2024-03-11 16:30:31	T	F	24	24	5	1	1.23
116		"11140"	"base"	"interview"	2024-03-11 16:16:08	1	F	F	T	F	F	F	F		"Sehr geehrter Herr A. Hausach, "	4	5	3	3	5	3	3	4	4	3	3	101	4	3	4	3	4	4	4	3	4	4	4	3	4	4	4	4	3	2	5	5	5	5	5	5	4	5	5	4	5	5				6	6	6	6	6	6	6	5	5	5	6	5	6	5	6	6	6	5	6	5	6	5	5	6	6	6	6	6	6	5				4	5	4	4		5		5	5	1		3	2	5	5	5	5	5	4	4	4	3	4	4	3	4	3	3	4	3	4	3	4	4	4	4	1	4	3	3	4	1	T	F	F	F	F	6	6	1		1	7				2	"psychologie"		1	2	1	40	56	85	61	62	101	75	61	70	55	24	76	88	64	52	89	78	52			2	1	2	1	10		6	6	6	55	6888	180	136	17	41	42	30	28	4	36	35	13		15	3		754		2024-03-11 18:21:59	T	F	24	24	5	1	1.53
117		"17206"	"base"	"interview"	2024-03-11 16:24:26	1	F	F	T	F	F	F	F		"Sehr geehrte Damen und Herren"	4	3	2	3	4	4	3	3	4	3	4	101	2	2	3	2	2	1	2	1	3	2	2	4	4	4	4	2	2	4	2	4	4	4	4	3	3	3	5	2	3	3				3	3	2	1	1	1	3	2	1	3	1	1	4	1	4	3	1	3	1	1	1	1	2	2	2	2	2	2	2	2				3	2	2	2		3		2	3	2		4	4	4	4	3	4	4	2	2	3	1	2	4	3	2	2	3	3	3	2	2	3	1	1	1	5	5	5	1	1	1	T	F	F	F	F	3	6	2		2	8				2	"Psychologie"		3	1	2	36	25	31	43	57	41	20	8	6	40	15	54	42	56	53	51	16	8			2	1	1	1	4		4	4	14	36	81	83	27	22	68	88	99	132	5	39	28	20		9	2		765		2024-03-11 16:37:12	T	F	24	24	5	1	1.43
118		"20989"	"base"	"interview"	2024-03-11 16:27:02	1	F	T	F	F	F	F	F		"Sehr geehrte Frau/sehr geehrter Herr Hausach"	5	5	4	5	5	5	4	4	5	4	5	91	1	1	2	3	1	1	1	4	2	1	3	5	5	2	4	1	1	5	4	5	4	5	5	4	3	4	5	-1	4	-1	"Feedback von betroffenen Personen"			2	2	3	2	1	1	2	1	1	2	1	2	2	1	2	2	1	1	1	1	1	1	3	2	1	3	1	1	1	1				3	1	5	4		5		2	1	4	"Psychotherapeut:innen"	5	4	4	5	3	3	3	2	1	2	1	1	5	5	4	2	1	2	2	1	1	2	1	1	1	5	5	5	2	1	1	T	F	F	F	F	3	3	2		5	8				2	"Psychologie"		7	1	2	39	22	97	54	99	47	59	62	86	25	16	98	62	100	69	58	24	72	"Personen in den Bereichen Pädagogik und Kirche"		2	1	1	1	36		7	13	18	118	109	142	51	63	116	193	268	252	15	52	156	54		16	7		1686		2024-03-11 16:55:08	T	F	24	24	3	0	0.61
